report,iso3,version,source
aaa_scale_pop,AGO,2022,WPP2022
aaa_scale_pop,BWA,2022,WPP2022
aaa_scale_pop,SWZ,2022,WPP2022
aaa_scale_pop,ETH,2022,WPP2022
aaa_scale_pop,KEN,2022,WPP2022
aaa_scale_pop,LSO,2022,WPP2022
aaa_scale_pop,MWI,2022,WPP2022
aaa_scale_pop,MOZ,2022,WPP2022
aaa_scale_pop,NAM,2022,WPP2022
aaa_scale_pop,RWA,2022,WPP2022
aaa_scale_pop,ZAF,2022,WPP2022
aaa_scale_pop,SSD,2022,WPP2022
aaa_scale_pop,UGA,2022,WPP2022
aaa_scale_pop,TZA,2022,WPP2022
aaa_scale_pop,ZMB,2022,WPP2022
aaa_scale_pop,ZWE,2022,WPP2022
aaa_scale_pop,BEN,2022,WPP2022
aaa_scale_pop,BFA,2022,WPP2022
aaa_scale_pop,BDI,2022,WPP2022
aaa_scale_pop,CMR,2022,WPP2022
aaa_scale_pop,CAF,2022,WPP2022
aaa_scale_pop,TCD,2022,WPP2022
aaa_scale_pop,COG,2022,WPP2022
aaa_scale_pop,CIV,2022,WPP2022
aaa_scale_pop,COD,2022,WPP2022
aaa_scale_pop,GNQ,2022,WPP2022
aaa_scale_pop,GAB,2022,WPP2022
aaa_scale_pop,GMB,2022,WPP2022
aaa_scale_pop,GHA,2022,WPP2022
aaa_scale_pop,GIN,2022,WPP2022
aaa_scale_pop,GNB,2022,WPP2022
aaa_scale_pop,LBR,2022,WPP2022
aaa_scale_pop,MLI,2022,WPP2022
aaa_scale_pop,NER,2022,WPP2022
aaa_scale_pop,NGA,2022,WPP2022
aaa_scale_pop,SEN,2022,WPP2022
aaa_scale_pop,SLE,2022,WPP2022
aaa_scale_pop,TGO,2022,WPP2022