country.name,urban_prop
Burundi,   13.7
Comoros,   29.4
Djibouti,   78.1
Eritrea,   41.3
Ethiopia,   21.7
Kenya,   28.0
Madagascar,   38.5
Malawi,   17.4
Mauritius,   40.8
Mayotte,   45.8
Mozambique,   37.1
Réunion,   99.7
Rwanda,   17.4
Seychelles,   57.5
Somalia,   46.1
South Sudan,   20.2
Uganda,   25.0
United Republic of Tanzania,   35.2
Zambia,   44.6
Zimbabwe,   32.2
Angola,   66.8
Cameroon,   57.6
Central African Republic,   42.2
Chad,   23.5
Congo,   67.8
Democratic Republic of the Congo,   45.6
Equatorial Guinea,   73.1
Gabon,   90.1
Sao Tome and Principe,   74.4
Botswana,   70.9
Lesotho,   29.0
Namibia,   52.0
South Africa,   67.4
Swaziland,   24.2
Benin,   48.4
Burkina Faso,   30.6
Cabo Verde,   66.7
Côte d'Ivoire,   51.7
Gambia,   62.6
Ghana,   57.3
Guinea,   36.9
Guinea-Bissau,   44.2
Liberia,   52.1
Mali,   43.9
Mauritania,   55.3
Niger,   16.6
Nigeria,   52.0
Saint Helena,   40.1
Senegal,   48.1
Sierra Leone,   42.9
Togo,   42.8
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,